Age,Department,JobRole,Gender,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,RiskScore,Attrition,ML_AttritionProbability,ML_PredictedAttrition,RiskTier,RiskFlags,HRRecommendations,InterventionCount
41,Sales,Sales Executive,Female,5993,Yes,4,1,6,0,4,Yes,87.66,Yes,🔴 CRITICAL,BELOW_AVG_HIKE | OVERTIME_STRESS | POOR_WLB | POOR_RELATIONSHIPS | NO_TRAINING | HIGH_JOB_HOPPER | ML_HIGH_RISK,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏡 Introduce flexible/remote work options and mandatory wellness days. | 🤝 Facilitate team-building activities and peer mentoring programs. | 📚 Immediately enroll in skill-development programs; assign a learning budget. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,7
49,Research & Development,Research Scientist,Male,5130,No,2,3,10,1,2,No,6.19,No,🟢 LOW,NONE,No immediate action required.,0
37,Research & Development,Laboratory Technician,Male,2090,Yes,3,3,0,0,4,Yes,84.91,Yes,🔴 CRITICAL,LOW_SALARY | OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,5
33,Research & Development,Research Scientist,Female,2909,Yes,3,3,8,3,3,No,12.83,No,🟡 MEDIUM,LOW_SALARY | BELOW_AVG_HIKE | OVERTIME_STRESS,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📈 Review annual appraisal cycle; ensure hike is at least at industry median. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,3
27,Research & Development,Laboratory Technician,Male,3468,No,2,3,2,2,3,No,12.36,No,🟡 MEDIUM,POOR_ENVIRONMENT | NEW_HIRE_FLIGHT_RISK | HIGH_JOB_HOPPER,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months. | 🔗 Offer retention bonus tied to 2-year tenure milestone.",3
32,Research & Development,Laboratory Technician,Male,3068,No,4,2,7,3,0,No,4.83,No,🟢 LOW,NONE,No immediate action required.,0
59,Research & Development,Laboratory Technician,Female,2670,Yes,1,2,1,0,6,No,20.48,No,🟠 HIGH,LOW_SALARY | OVERTIME_STRESS | LOW_JOB_SATISFACTION | POOR_RELATIONSHIPS | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🤝 Facilitate team-building activities and peer mentoring programs. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,5
30,Research & Development,Laboratory Technician,Male,2693,No,3,3,1,0,2,No,17.92,No,🟡 MEDIUM,LOW_SALARY | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
38,Research & Development,Manufacturing Director,Male,9526,No,3,3,9,1,0,No,3.89,No,🟢 LOW,NONE,No immediate action required.,0
36,Research & Development,Healthcare Representative,Male,5237,No,3,2,7,7,1,No,3.64,No,🟡 MEDIUM,STAGNANT_CAREER | HIGH_JOB_HOPPER,🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,2
35,Research & Development,Laboratory Technician,Male,2426,No,2,3,5,0,3,No,6.37,No,🟡 MEDIUM,LOW_SALARY | POOR_ENVIRONMENT,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
29,Research & Development,Laboratory Technician,Female,4193,Yes,3,3,9,0,2,No,7.84,No,🟢 LOW,OVERTIME_STRESS,⏱️  Audit workload distribution; enforce overtime caps and offer comp time.,1
31,Research & Development,Research Scientist,Male,2911,No,3,2,5,4,1,No,7.73,No,🟡 MEDIUM,LOW_SALARY | POOR_ENVIRONMENT | STAGNANT_CAREER,"💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.",3
34,Research & Development,Laboratory Technician,Male,2661,No,4,3,2,1,2,No,5.07,No,🟡 MEDIUM,LOW_SALARY | BELOW_AVG_HIKE | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
28,Research & Development,Laboratory Technician,Male,2028,Yes,3,3,4,0,3,Yes,92.2,Yes,🔴 CRITICAL,LOW_SALARY | OVERTIME_STRESS | HIGH_JOB_HOPPER | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
29,Research & Development,Manufacturing Director,Female,9980,No,1,3,10,8,3,No,4.65,No,🟡 MEDIUM,BELOW_AVG_HIKE | LOW_JOB_SATISFACTION | STAGNANT_CAREER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,3
32,Research & Development,Research Scientist,Male,3298,Yes,2,2,6,0,4,No,10.18,No,🟡 MEDIUM,OVERTIME_STRESS | POOR_ENVIRONMENT,"⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
22,Research & Development,Laboratory Technician,Male,2935,Yes,4,2,1,0,4,No,28.05,No,🟡 MEDIUM,LOW_SALARY | OVERTIME_STRESS | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,3
53,Sales,Manager,Female,15427,No,4,3,25,3,0,No,3.31,No,🟢 LOW,POOR_ENVIRONMENT,"🏢 Review team dynamics, physical workspace, and DEI climate surveys.",1
38,Research & Development,Research Scientist,Male,3944,Yes,4,3,3,1,2,No,9.7,No,🟡 MEDIUM,BELOW_AVG_HIKE | OVERTIME_STRESS | HIGH_JOB_HOPPER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | ⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 🔗 Offer retention bonus tied to 2-year tenure milestone.,3
24,Research & Development,Manufacturing Director,Female,4011,No,3,2,4,1,0,No,5.26,No,🟢 LOW,POOR_ENVIRONMENT,"🏢 Review team dynamics, physical workspace, and DEI climate surveys.",1
36,Sales,Sales Representative,Male,3407,No,1,3,5,0,2,Yes,76.91,Yes,🔴 CRITICAL,LOW_JOB_SATISFACTION | HIGH_JOB_HOPPER | ML_HIGH_RISK,💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🔗 Offer retention bonus tied to 2-year tenure milestone. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,3
34,Research & Development,Research Director,Female,11994,No,2,3,12,2,2,No,4.48,No,🟡 MEDIUM,BELOW_AVG_HIKE | POOR_ENVIRONMENT,"📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🏢 Review team dynamics, physical workspace, and DEI climate surveys.",2
21,Research & Development,Research Scientist,Male,1232,No,4,3,0,0,2,No,23.75,No,🟡 MEDIUM,LOW_SALARY | NEW_HIRE_FLIGHT_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 🎓 Strengthen onboarding; assign a buddy/mentor for the first 6 months.,2
34,Research & Development,Research Scientist,Male,2960,No,1,3,4,1,3,Yes,81.29,Yes,🔴 CRITICAL,LOW_SALARY | BELOW_AVG_HIKE | LOW_JOB_SATISFACTION | ML_HIGH_RISK,💰 Conduct immediate salary benchmarking and adjust compensation to market rate. | 📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,4
53,Research & Development,Manager,Female,19094,No,3,2,14,4,0,No,3.12,No,🟡 MEDIUM,BELOW_AVG_HIKE | STAGNANT_CAREER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
32,Research & Development,Research Scientist,Female,3919,Yes,1,3,10,6,5,Yes,90.4,Yes,🔴 CRITICAL,OVERTIME_STRESS | LOW_JOB_SATISFACTION | STAGNANT_CAREER | LOW_INVOLVEMENT | ML_HIGH_RISK,⏱️  Audit workload distribution; enforce overtime caps and offer comp time. | 💬 Schedule 1-on-1 with manager to identify and resolve dissatisfaction drivers. | 🚀 Create an individual development plan (IDP) and fast-track promotion review. | 🎯 Re-align role responsibilities; consider lateral move to a higher-impact project. | 🚨 AI model flags very high attrition probability — escalate to CHRO.,5
42,Sales,Sales Executive,Male,6825,No,2,3,9,4,2,No,3.72,No,🟡 MEDIUM,BELOW_AVG_HIKE | STAGNANT_CAREER,📈 Review annual appraisal cycle; ensure hike is at least at industry median. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.,2
44,Research & Development,Healthcare Representative,Female,10248,No,4,3,22,5,0,No,3.72,No,🟡 MEDIUM,POOR_ENVIRONMENT | STAGNANT_CAREER,"🏢 Review team dynamics, physical workspace, and DEI climate surveys. | 🚀 Create an individual development plan (IDP) and fast-track promotion review.",2
